Version,1.00
Filename,SyntheticData_v2
Sample No,7
Sample ID,SyntheticDataSet1
Sample Type,
Analysis name,
User name,
Method name,syntheticdata_v2.m
MS Tune file,
Inlet file,
Serial Number,2019
Centre Channel,RM
DataDump Level,CSV-RAW
Acquire Date,
Cycles per Block,15
Num. Blocks,100
Num. Sequences,2
#START
ID,Block,Cycle,Integ,Time,Mass,Low5,Low4,Low3,Low2,Ax Fara,Axial,High1,High2,High3,High4
BL1,1,0,1,0,205.500,0,0,0,0,29882.5514,0,-6165.7033,0,0,0
BL1,1,0,2,0.1,205.500,0,0,0,0,31861.2341,0,-19022.3246,0,0,0
BL1,1,0,3,0.2,205.500,0,0,0,0,32031.3613,0,-9254.9052,0,0,0
BL1,1,0,4,0.3,205.500,0,0,0,0,27186.0653,0,-14219.1958,0,0,0
BL1,1,0,5,0.4,205.500,0,0,0,0,29483.5355,0,-9479.9542,0,0,0
BL1,1,0,6,0.5,205.500,0,0,0,0,34571.7388,0,-3937.745,0,0,0
BL1,1,0,7,0.6,205.500,0,0,0,0,27110.3259,0,-6556.7523,0,0,0
BL1,1,0,8,0.7,205.500,0,0,0,0,26960.1958,0,-3788.791,0,0,0
BL1,1,0,9,0.8,205.500,0,0,0,0,26747.8421,0,-5685.1922,0,0,0
BL1,1,0,10,0.9,205.500,0,0,0,0,26090.5597,0,-10562.8529,0,0,0
BL1,1,0,11,1,205.500,0,0,0,0,31299.6305,0,-7288.2921,0,0,0
BL1,1,0,12,1.1,205.500,0,0,0,0,25144.6392,0,-6992.4308,0,0,0
BL1,1,0,13,1.2,205.500,0,0,0,0,27044.5706,0,-7455.4918,0,0,0
BL1,1,0,14,1.3,205.500,0,0,0,0,35071.8538,0,-7279.3996,0,0,0
BL1,1,0,15,1.4,205.500,0,0,0,0,29605.7997,10,-1657.1766,0,0,0
BL1,1,0,16,1.5,205.500,0,0,0,0,27677.0595,0,-2033.625,0,0,0
BL1,1,0,17,1.6,205.500,0,0,0,0,27727.9125,0,-6465.8671,0,0,0
BL1,1,0,18,1.7,205.500,0,0,0,0,30900.5312,0,-9423.4301,0,0,0
BL1,1,0,19,1.8,205.500,0,0,0,0,28719.3014,0,-5604.3559,0,0,0
BL1,1,0,20,1.9,205.500,0,0,0,0,27340.7388,0,-12420.6257,0,0,0
BL1,1,0,21,2,205.500,0,0,0,0,29754.5316,0,-13167.1319,0,0,0
BL1,1,0,22,2.1,205.500,0,0,0,0,30367.0285,0,-9394.7908,0,0,0
BL1,1,0,23,2.2,205.500,0,0,0,0,28469.9717,0,-8380.7513,0,0,0
BL1,1,0,24,2.3,205.500,0,0,0,0,34990.4038,0,-13526.6778,0,0,0
BL1,1,0,25,2.4,205.500,0,0,0,0,24672.9635,0,-8007.4957,0,0,0
BL1,1,0,26,2.5,205.500,0,0,0,0,32225.9481,0,-12898.4826,0,0,0
BL1,1,0,27,2.6,205.500,0,0,0,0,28503.8462,0,-7885.5718,0,0,0
BL1,1,0,28,2.7,205.500,0,0,0,0,30384.9406,0,-12950.2103,0,0,0
BL1,1,0,29,2.8,205.500,0,0,0,0,34890.5122,0,-6174.5281,0,0,0
BL1,1,0,30,2.9,205.500,0,0,0,0,26960.5721,0,-6076.7836,0,0,0
BL1,1,0,31,3,205.500,0,0,0,0,31775.5118,0,-11613.4897,0,0,0
BL1,1,0,32,3.1,205.500,0,0,0,0,26447.2181,0,-9450.6681,0,0,0
BL1,1,0,33,3.2,205.500,0,0,0,0,28179.694,0,-11335.9113,0,0,0
BL1,1,0,34,3.3,205.500,0,0,0,0,31505.7496,0,-6239.613,0,0,0
BL1,1,0,35,3.4,205.500,0,0,0,0,26302.5759,0,-11737.6848,0,0,0
BL1,1,0,36,3.5,205.500,0,0,0,0,28523.4801,0,-14082.5815,0,0,0
BL1,1,0,37,3.6,205.500,0,0,0,0,26807.7394,0,-14490.2256,0,0,0
BL1,1,0,38,3.7,205.500,0,0,0,0,28101.7893,0,-7146.942,0,0,0
BL1,1,0,39,3.8,205.500,0,0,0,0,35431.2131,0,-8979.7699,0,0,0
BL1,1,0,40,3.9,205.500,0,0,0,0,28998.3294,0,-8685.5437,0,0,0
BL1,1,0,41,4,205.500,0,0,0,0,30670.1184,0,-10897.5072,0,0,0
BL1,1,0,42,4.1,205.500,0,0,0,0,33286.3233,0,-7388.6537,0,0,0
BL1,1,0,43,4.2,205.500,0,0,0,0,22720.0661,0,-10270.6296,0,0,0
BL1,1,0,44,4.3,205.500,0,0,0,0,31421.8139,0,-10107.1893,0,0,0
BL1,1,0,45,4.4,205.500,0,0,0,0,31083.7067,0,-14992.879,0,0,0
BL1,1,0,46,4.5,205.500,0,0,0,0,27655.6172,0,-8533.4638,0,0,0
BL1,1,0,47,4.6,205.500,0,0,0,0,31147.2789,0,-6913.8164,0,0,0
BL1,1,0,48,4.7,205.500,0,0,0,0,32940.8108,0,-2481.2169,0,0,0
